Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Age,Working Hours,Leave Days,Job Satisfaction,Sleep Hours,Burnout Risk
Female,Service,Yes,2,6.5,7.8,28,10,2,3,6.5,1
Male,Product,No,3,5.2,4.3,35,8,5,4,7.5,0
Female,Service,Yes,1,8.1,8.9,24,11,1,2,5.5,1
Male,Service,No,4,3.4,2.8,41,7,6,5,8.0,0
Female,Product,Yes,2,7.2,7.5,30,10,2,2,6.0,1
Male,Service,Yes,3,4.8,5.0,32,8,4,4,7.0,0
Female,Service,No,1,9.0,9.2,26,12,1,1,5.0,1
Male,Product,Yes,2,6.0,6.4,29,9,3,3,6.8,0
Female,Service,Yes,3,7.5,8.0,34,11,2,2,5.8,1
Male,Service,No,2,4.0,3.5,38,8,5,5,7.9,0
Female,Product,Yes,1,8.3,9.1,25,12,1,1,5.2,1
Male,Service,Yes,4,5.1,4.7,40,8,4,4,7.4,0
Female,Service,No,2,6.9,7.3,31,10,2,3,6.4,1
Male,Product,Yes,3,3.8,2.9,36,7,6,5,8.1,0
Female,Service,Yes,2,7.8,8.5,27,11,1,2,5.7,1
